Date,Content Type,Title,AI Content,Flywheel Stage,URL
,Blog External,Analyzing BigQuery data with Gemini using remote functions,,Adopt,https://github.com/GoogleCloudPlatform/generative-ai/tree/main/gemini/use-cases/applying-llms-to-data/using-gemini-with-bigquery-remote-functions
,Lab/Tutorial,Build an ML model in BigQuery/SparkML in Neos tutorial,,Activate,https://console.cloud.google.com?walkthrough_id=solutions-in-console--analytics-lakehouse--sparkml
,Lab/Tutorial,Build an ML model in BigQuery/SparkML in Neos tutorial,,Adopt,https://github.com/GoogleCloudPlatform/terraform-google-analytics-lakehouse/blob/main/src/ipynb/spark_ml.ipynb
,Blog Cloud,Building better APIs by reducing developer burden -  white paper,,Evaluate,https://cloud.google.com/building-better-apis-by-reducing-developer-burden
,Blog External,CIS Google Kubernetes Engine (GKE) Benchmark v1.5.0 - 12-14-2023,,Advocate,https://www.cisecurity.org/benchmark/kubernetes
,Blog External,Dataplex AutoDQ blueprint,,Adopt,https://github.com/GoogleCloudPlatform/terraform-google-dataplex-auto-data-quality
,Qwiklab/Skillsboost,Duet for Data Science Qwiklab,,Adopt,https://www.cloudskillsboost.google/course_templates/879
,Video,Duet for Data Science Video,,Evaluate,https://www.youtube.com/watch?v=-pA01nGXwSI
,Blog External,FEAR AND LOATHING IN SECURITY DASHBOARDS,,Evaluate,https://postmodernsecurity.com/2024/01/25/fear-and-loathing-in-security-dashboards/
,Lab/Tutorial,GenAI Databases Retrieval App codelab and app maintenance,,Adopt,https://codelabs.developers.google.com/codelabs/genai-db-retrieval-app
,Blog External,Generative AI is new and exciting but conversation design principles are forever,,Activate,https://medium.com/google-cloud/generative-ai-is-new-and-exciting-but-conversation-design-principles-are-forever-193371489f99
,Blog External,Generative AI model evaluation,,Activate,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/generative_ai/evaluate_model.py
,Blog External,Getting started to chat with Gemini Pro using Python SDK and LangChain,,Adopt,https://github.com/GoogleCloudPlatform/generative-ai/blob/main/gemini/getting-started/intro_gemini_chat.ipynb
,Blog Cloud,Getting started with Svelte on Google Cloud,,Evaluate,https://cloud.google.com/blog/products/application-development/getting-started-with-svelte-on-google-cloud/
,Blog External,Google Cloud HA VPN to Compute Engine VM (NVA) config lab with VyOS,,Activate,https://medium.com/google-cloud/google-cloud-ha-vpn-to-compute-engine-vm-nva-config-lab-with-vyos-a447624849da
,Blog Cloud,Integrating BigQuery data into your LangChain application,,Expand,https://cloud.google.com/blog/products/ai-machine-learning/open-source-framework-for-connecting-llms-to-your-data/
,Lab/Tutorial,Interact with APIs Using Function Calling in Gemini,,Adopt,https://codelabs.developers.google.com/codelabs/gemini-function-calling
,Blog External,Intro and Conclusion to the 2024 SRE Report,,Evaluate,https://www.catchpoint.com/asset/2024-sre-report
,Blog External,Networking in Google Cloud — Things to check out to catch up -’24 edition,,Evaluate,https://medium.com/google-cloud/networking-in-google-cloud-things-to-check-out-to-catch-up-24-edition-3e02b2ea1944
,Qwiklab/Skillsboost,Qwiklab  Building an LLM and RAG-based chat application using AlloyDB AI and LangChain,,Expand,https://www.cloudskillsboost.google/catalog_lab/31117
,Blog Cloud,RLHF Tuning with Vertex AI,,Activate,https://cloud.google.com/blog/products/ai-machine-learning/rlhf-on-google-cloud/
,Video,Spanner Data Boost animated video,,Evaluate,https://www.youtube.com/watch?v=0iK76JCGsHM
,Blog Cloud,Spanner emulator for integration testing blog post,,Adopt,https://cloud.google.com/blog/products/databases/spanner-integration-testing-with-the-emulator
,Video,Startup School: Live Presentation,,Expand,https://www.youtube.com/live/418HvfM8p-U
,Video,Unveiling Key Insights from the 2023 State of DevOps Report - Metrics that Matter - Part 2,,Advocate,https://www.youtube.com/watch?v=2K_4NFNrn2o
,Blog External,Write demo for Startup School,,Adopt,https://github.com/GoogleCloudPlatform/generative-ai/blob/main/vision/use-cases/creating_high_quality_visual_assets_with_gemini_and_imagen.ipynb
,Blog Cloud,Python samples contributions (Intermediate),,Adopt,https://developers.google.com/codelabs/python-sample-beginning-codelab#0
,Blog Cloud,Python samples contributions (Beginner),,Adopt,https://developers.google.com/codelabs/python-sample-intermediate-codelab#0
,Lab/Tutorial,Cloud Run Service Sidecar,,Adopt,https://codelabs.developers.google.com/codelabs/create-cloud-run-service-sidebar-localhost-volume-mount?hl=en#0
,Lab/Tutorial,"Create a video scene-by-scene image description service using Cloud Run, Video Intelligence API, and Vertex AI",,Expand,https://codelabs.developers.google.com/codelabs/how-to-create-cloud-run-service-for-describing-scenes-in-a-video?hl=en#0
,Lab/Tutorial,"Using revisions in Cloud Functions 2nd gen for Traffic Splitting, Gradual Rollouts, and Rollbacks",,Adopt,https://codelabs.developers.google.com/codelabs/revisions-2nd-gen-cloud-functions-traffic-splitting-gradual-rollout-rollbacks?hl=en#0
,Video,Top 3 Google Cloud tips for Firebase developers,,Expand,https://www.youtube.com/watch?v=AX_JInDfhc0
,Blog Cloud,Architecture Center: Import logs from Cloud Storage to Cloud Logging,,Adopt,https://cloud.google.com/architecture/import-logs-from-storage-to-logging
,Video,Monitoring ML Training Platform using Kueue Metrics and Cloud Monitoring,,Adopt,https://www.youtube.com/watch?v=B63vT2_UYE4
,Video,Code with Duet Live #1,,Evaluate,https://www.youtube.com/watch?v=0Mq7j2Tl8gE
,Video,Code with Duet Live #2,,Evaluate,https://www.youtube.com/watch?v=TowsZQQzz5Y
,Video,Code with Duet Live #3,,Evaluate,https://www.youtube.com/watch?v=84ALYYd6Irs
,Blog External,2023 in Review,,Expand,https://kaslin.rocks/2023-review/
,Blog External,Intro to Sidecars,,Activate,https://kaslin.rocks/sidecars/
,Blog External,The State of Stateful in Kubernetes,,Advocate,https://kaslin.rocks/stateful-kubernetes/
