Id,Order,Priority,Summary,Links+,Deliverable type,Flywheel Stage,Product Area,Audience,Target Archetype,Technical level,HotlistIds,Assignee,Status,ComponentPath,Reporter
318506629,,P2,"Webinar - ""Building RAG Applications with Google's AI Powered Databases""",https://cloudonair.withgoogle.com/events/building-rag-applications-with-an-alloydb-database,Presentation,Advocate,Data & Analytics,,,,dr4dc-roadmap • 2024.01 • AI (Other),otochkin,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
318520787,,P2,Review Data Formats Cloud Data Eng Academy video script,,,,,,,,2024.06,aliciamw,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,aliciamw
318521051,,P2,Analyzing BigQuery data with Gemini using remote functions,https://github.com/GoogleCloudPlatform/generative-ai/tree/main/gemini/use-cases/applying-llms-to-data/using-gemini-with-bigquery-remote-functions,Code Artifact,Adopt,Data & Analytics,,,,dr4dc-roadmap • 2024.01 • AI (Other),shanecglass,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,shanecglass
318522513,,P2,Review Next proposals,,,,,,,,2024.01,shanecglass,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,shanecglass
318522936,,P2,RAG JSS Development,https://docs.google.com/document/d/1wud-G6LJUgOcOHexeMry9AMWOWQaHce8Nt5YSBSTZEU/edit?resourcekey=0-Ut6fmDuP3FdsWOBYyCIIQQ&tab=t.0 • https://github.com/GoogleCloudPlatform/terraform-genai-rag,Quickstart/Jump Start Solution,Activate,,,,,2024.06,jasondavenport,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,jasondavenport
318523133,,P2,Review Next CFP,,,,,,,,2024.01,jasondavenport,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,jasondavenport
318524234,,P2,"Bigtable AI blog (RAG, LLMs, Vector Search)",,,,,,,,2024.06,thebilly,accepted,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,thebilly
318524792,,P2,HTAP Blog,https://docs.google.com/document/d/19hkwFwQ_ZqJuXGXkO-7WO64N6qacxRCGBa_iSrDgFoQ/edit?resourcekey=0-UTGgPh4gysWIEKTU-N78fg&tab=t.0,Blog post/Article,,Data & Analytics,,,,2024.06,thebilly,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,thebilly
318524903,,P2,"Video for change streams, bigquery, looker",,,,,,,,2024.06,thebilly,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,thebilly
318525138,,P2,Tutorial for Bigtable change streams to bigquery with looker (in Cloud Docs),,Lab,Activate,Data & Analytics,,,,2024.06,thebilly,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,thebilly
318739299,,P2,[Blog] Analyzing images with Gemini Pro Vision and BigQuery,https://medium.com/google-cloud/analyzing-images-with-gemini-pro-vision-and-bigquery-e489996d9c4b • https://github.com/GoogleCloudPlatform/generative-ai/tree/main/gemini/use-cases/applying-llms-to-data/using-gemini-with-bigquery-remote-functions,Blog post/Article,Adopt,Data & Analytics,,,,2024.01,aliciamw,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,aliciamw
319037476,,P2,Apigee 2024 q1 + q2 content plan,,,,,,,,DEE Infra • 🎂 January 2024 • 🪸January 2024,emanuelburgess,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,emanuelburgess
319038877,,P2,Building better APIs by reducing developer burden -  white paper,https://cloud.google.com/building-better-apis-by-reducing-developer-burden,Blog post/Article,Evaluate,Cross-Cloud,,,,DEE Infra • 🎂 January 2024 • 🪸January 2024,emanuelburgess,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,emanuelburgess
319038898,,P2,5 ways platform engineers can help developers create winning APIs - blog post,https://cloud.google.com/blog/products/api-management/platform-engineers-can-enable-developers-to-build-better-apis,Blog post/Article,Evaluate,Cross-Cloud,,,,DEE Infra • 🎂 January 2024 • 🪸January 2024,emanuelburgess,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,emanuelburgess
319084092,,P2,Auto-approve bot go/py-sample monitoring,,,,,,,,DEE Infra • 🎂 January 2024 • _Ideas / future work,sampathm,accepted,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,sampathm
319087243,,P1,Planning for the GenAI Code Sample Acceleration OpEx,,,,,,,,DEE Infra • 🎂 January 2024 • 🪸April 2024,strzelczyk,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,strzelczyk
319165964,,P1,Next CFP Grooming/Voting,,,,,,,,Next-2024 • 2024.01,gweiss,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319166445,,P2,Become more familiar with Taskflow and enter in some of my January priorities.,,,,,,,,2024.01,gweiss,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319166816,,P2,Lock down demo requirements for Feb 28th Data event.,,,,,,,,2024.01,gweiss,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319167850,,P2,Polish/Finish Condor video for publish to YouTube for Public Preview.,,,,,,,,2024.04,gweiss,obsolete,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319169107,,P2,Update CFP dates for Database conference spreadsheet,,,,,,,,2024.06,gweiss,accepted,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319169415,,P2,Expand keynote best practices document for Next core team,,,,,,,,Next-2024 • 2024.01,gweiss,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319169457,,P2,Kickoff calls with Product Teams for TK/Brad keynote at Next '24,,,,,,,,2024.04,gweiss,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319169764,,P2,Send links to Randall and Brice for labs,,,,,,,,2024.01,gweiss,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319170031,,P2,Reverse engineer Swoogo schema for Next data,,,,,,,,2024.06,gweiss,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319170233,,P2,Write script to import Swoogo data into BigQuery for our own archive of Next metrics,,,,,,,,2024.06,gweiss,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319187447,,P2,Explore why cloudadvocacyorg.joonix.net alerts are coming from Robert's account.,,,,,,,,2024.02,gweiss,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,gweiss
319288052,,P2,Forecasting Purchase Events notebook,,,,,,,,,aliciamw,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,ashleyxu
319347832,,P2,Centralized 2024 DA Demo (OPM),,,,,,,,2024.02,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
319425335,,P0,Zebra [gcloud create],,,,,,,,2024.03,downeyd,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,downeyd
319425458,,P1,Spanner GenAI NEXT demo,https://docs.google.com/document/d/1z6rTgRZta76zB8rfeNBp_bJWAtAjkdxbFEun3-Pnies/edit?pli=1&tab=t.0#heading=h.v04ty7h6vqij • https://github.com/googleforgames/GenAI-quickstart,Code Artifact,Evaluate,Databases,External - Public,,,2024.04,downeyd,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,downeyd
319425696,,P2,Spanner emulator for integration testing blog post,https://cloud.google.com/blog/products/databases/spanner-integration-testing-with-the-emulator,Blog post/Article,Adopt,Data & Analytics,,,,dr4dc-roadmap • 2024.01 • Spanner • Blog,downeyd,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,downeyd
319425718,,P2,Demystify Spanner CPU metrics video,,,,,,,,dr4dc-roadmap • 2024.06 • Spanner,downeyd,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,downeyd
319425817,,P0,NEXT showcase demo creation,https://docs.google.com/document/d/125DLPr9ivx_7Y7x1pmWkLEfMbTXWYEz38WjRoH1Ey2s/edit?tab=t.0#heading=h.1g6nc7wr1cp2 • https://docs.google.com/presentation/d/16rLj19L7Zf60_y7xrqJFowZehlJ9dymEwEwxJ1pWrjU/edit?pli=1&resourcekey=0-mDTMD-pb6wjDA64ZfRDUBA#slide=id.g1f4d81e7fc6_0_118,Demo,Evaluate,Databases,External - Public,,,2024.04,downeyd,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,downeyd
319427853,,P2,GenAI Databases Retrieval App codelab and app maintenance,https://codelabs.developers.google.com/codelabs/genai-db-retrieval-app,Lab,Adopt,Data & Analytics,,,,dr4dc-roadmap • 2024.01 • AI (Other),otochkin,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
319428795,,P2,Sponsorship for Postgres Conferences - PGConf.Dev 2024,https://2024.pgconf.dev/sponsors/,,Expand,Data & Analytics,,,,2024.04,otochkin,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
319429349,,P2,Tech-review request: Reference architectures for Zonal & Regional deployments on GCE,,,,,,,,2024.02,otochkin,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
319431753,,P2,GenAI: Test PyParser with Test Samples,,,,,,,,DEE Infra • 🎂 January 2024 • 🪸January 2024,sampathm,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,sampathm
319449130,,P2,Merge Gemini demo into GenAI repo,,,,,,,,2024.01,shanecglass,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,shanecglass
319450831,,P2,BigQuery AI Apps Hackathon Writeup,,,,,,,,2024.01,nelsonjeffrey,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
319454241,,P1,Scope out NEXT Demo,,,,,,,,2024.02,bmiro,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,bmiro
319455037,,P2,Review Next proposals,,,,,,,,2024.01,shanecglass,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,shanecglass
319473766,,P2,Extension 1: Using BigFrames,,Code Artifact,,Data & Analytics,,,,2024.02,shanecglass,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,shanecglass
319501283,,P2,QA Skillslab for GenAI,,,,,,,,2024.01,jasondavenport,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,jasondavenport
319504835,,P1,BQ and GKE with a GPU proposal,,,,,,,,2024.02,weihsia,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
319624039,,P2,Auto-approve Bot - Monitoring and improvements,,,,,,,,DEE Infra • 🎂 January 2024 • _Ideas / future work,sampathm,accepted,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,sampathm
319683476,,P2,Supporting submission for Gartner MQ (Cloud AI Developer Services),,,,,,,,2024.02,shanecglass,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,shanecglass
319908497,,P2,[Code sample feedback] Unable to find the source module referenced in the 'cloud_router' module in the terraform example. ,,,,,,,,DEE Infra • 🎂 January 2024 • 🪸January 2024,sampathm,not_reproducible,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps > Compute Engine,google-feedback
320033382,,P2,Discord Bot - preparations,,,,,,,,DEE Infra • 🎂 January 2024 • 🪸February 2024 • Compute,strzelczyk,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,strzelczyk
320292773,,P2,Social Video Request - Building RAG Applications with Google's AI Powered Databases,,,,,,,,2024.01,otochkin,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
320294694,,P2,AlloyDB Onboarding Guides,,,,,,,,dr4dc-roadmap • 2024.06,otochkin,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
320295101,,P2,Qwiklab creator process and workflow learning,,,,,,,,2024.06,otochkin,accepted,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
320618186,,P2,[External] The Go code at the bottom of the document simply cannot run; it throws an error：cloud.google.com\...,,,,,,,,DEE Infra • 🎂 January 2024 • Requests - External,sitalakshmi,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps > Security,google-feedback
320659141,,P2,Vector Search with AlloyDB AI: Challenge Lab - Question Set,,,,,,,,2024.04,otochkin,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
320659950,,P2,Design for a gen AI landing page in CGC docs,,,,,,,,2024.04,otochkin,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
320668765,,P0,Next'24 - Load Balancing Blitz -PRD for Beat the LB,,,,,,,,DEE Infra • 🎂 January 2024 • 🪸February 2024,sampathm,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,sampathm
320669029,,P2,Blog Post for GenAI: restaurant post (RAG),,Blog post/Article,,,,,,DEE Infra • 🎂 January 2024 • AI (Other) • 🪸June 2024,sampathm,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,sampathm
320677646,,P2,Write expectations for the year,,,,,,,,2024.01,weihsia,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320678581,,P2,Data Teams Summit - Panel Engagement,,,,,,,,2024.01,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
320683957,,P2,Load test ML.GENERATE_EMBEDDINGS with BQ team,,,,,,,,2024.01,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
320684148,,P2,Get ML.GENERATE_EMBEDDINGS working,,,,,,,,2024.01,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
320690196,,P2,Supporting Planet investigation of query failures,,,,,,,,Interrupts,shanecglass,infeasible,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,shanecglass
320691775,,P2,[Blog] Analyzing customer feedback at scale - from Google Sheets to BigQuery!,https://medium.com/google-cloud/analyzing-customer-feedback-at-scale-from-google-sheets-to-bigquery-a9ab4b59f5a5,Blog post/Article,Expand,Data & Analytics,,,,dr4dc-roadmap • 2024.02 • AI (Other),aliciamw,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,aliciamw
320695153,,P2,Data Dash [Cloud NEXT Interactive Demo: Cloud Bigtable + Spark],https://docs.google.com/document/d/1ntZx9TxEDzck6Cgc2y5eHe9rXSRsQyHuNcthhGVXMVk/edit?resourcekey=0-4YVb_IGgNOIxcct-4JnqvA&tab=t.0#heading=h.gemd8lqu8h17,Demo,Evaluate,Data & Analytics,,,,2024.05,thebilly,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,thebilly
320716452,,P2,"SCaLE 21x Talk ""JSON and analytics in Postgres using index and columnar.""",https://docs.google.com/presentation/d/1QKHi_-OVbXA-ZXYx65i-ObmsGbBc-RpcFdiBaebImps/edit • https://www.socallinuxexpo.org/scale/21x/presentations/json-and-analytics-postgres-using-index-and-columnar,Presentation,Advocate,Databases,External - Public,Developers,,dr4dc-roadmap • 2024.05,otochkin,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
320720004,,P2,"AlloyDB and Oracle FDW labs, documentation and blog",,,,,,,,2024.02,otochkin,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
320723204,,P1,Streaming Gen AI Demo,,,,,,,,2024.06,weihsia,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320723460,,P2,GMK Assets,,,,,,,,,,new,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320724440,,P2,Setup bi-weekly syncs and content requirements ,,,,,,,,2024.02,weihsia,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320744959,,P2,Pinball,,,,,,,,Next-2024,weihsia,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320745013,,P2,Cloud-a-pillar,,,,,,,,Next-2024,weihsia,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320745056,,P2,Sketch to web,,,,,,,,Next-2024,weihsia,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320745099,,P2,Sustainability,,,,,,,,Next-2024,weihsia,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320745447,,P2,Gemini Ride,,,,,,,,Next-2024,weihsia,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320745492,,P2,Pictionary,,,,,,,,Next-2024,,obsolete,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320745764,,P2,Mini golf,,Demo,,,,,,dr4dc-roadmap • Next-2024,hyunuklim,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320746041,,P2,Load Balancing Blitz,,,,,,,,Next-2024,weihsia,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
320746322,,P2,Data Dash,,,,,,,,Next-2024,weihsia,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,weihsia
321055945,,P1,NEXT Hot Wheels Demo - physical assembly,goo.gle/data-dash-demo,Demo,Advocate,Data & Analytics,External - Public,,,2024.04,bmiro,321056576,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,bmiro
321056536,,P1,Publish Spark Gemini notebook,,,,,,,,2024.04,bmiro,308789805,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,bmiro
321056576,,P1,NEXT Demo - Hot Wheels,https://github.com/GoogleCloudPlatform/devrel-demos/tree/main/data-analytics/data-dash • goo.gle/data-dash-demo,Code Artifact,Advocate,Data & Analytics,External - Public,,,2024.06,bmiro,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,bmiro
321189466,,P2,GenAI: Phase2 - Final Step Manual updating of region tags,,,,,,,,DEE Infra • 🎂 January 2024 • 🪸January 2024,sampathm,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > InfraOps,sampathm
321216420,,P2,Vector support in Firestore,,,,,,,,2024.06,otochkin,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
321267194,,P2,AlloyDB AI Samples page,,,,,,,,2024.06,otochkin,accepted,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,otochkin
321270553,,P2,Friction Log - ML.GENERATE_EMBEDDINGS,https://docs.google.com/document/d/1KaBCTbRIdrb2uFeIXQhp_qKFkrZmg-g5L9PtiSMGTyA/edit?resourcekey=0-HqX7qAArCaW2TWUp7jiFiw&tab=t.0,Friction Log,Activate,Data & Analytics,,,,2024.01,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
321270663,,P2,Vector Stores on Google Cloud Blog,,,,,,,,dr4dc-roadmap • 2024.06,nelsonjeffrey,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
321271688,,P2,Write RAG / ReAct Agent Blog,,,,,,,,dr4dc-roadmap • 2024.05,nelsonjeffrey,obsolete,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
321271985,,P2,Outline RAG / ReAct Blog,,,,,,,,2024.06,nelsonjeffrey,assigned,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
321272133,,P2,BigQuery AI Apps Hackathon,go/data-apps-hackathon,,,Data & Analytics,,,,dr4dc-roadmap • 2024.01,nelsonjeffrey,fixed,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
321272625,,P2,[Deck] ANA302 - Embeddings + Vector Search - Next 2024,https://docs.google.com/presentation/d/1tGlwEfGBvRWiPtv_uAhp9NQpcXZYodfIQcJLfd9rf58/edit?usp=sharing&resourcekey=0-qwOEfacGzLwzO1eb71JSrA,Presentation,Advocate,Data & Analytics,,,,2024.04,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
321272778,,P2,[Presentation] Analytics Spotlight - Next 2024,https://www.youtube.com/watch?v=eM8PHKG0lcs&t=1s • https://cloud.withgoogle.com/next?session=SPTL202,Presentation,Advocate,Data & Analytics,External - Public,Data specialists,,dr4dc-roadmap • 2024.04 • AI (Other),nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
321274559,,P2,Duet for Data Science Video,https://www.youtube.com/watch?v=-pA01nGXwSI,Video (3min+),Evaluate,Data & Analytics,,,,dr4dc-roadmap • 2024.01,nelsonjeffrey,verified,Cloud Platform > Outbound Strategy & Enablement > Developer Advocacy & Engineering > Cloud Product DevRel > Data Cloud,nelsonjeffrey
